"","locationName","lat","long"
"494","Florida, USA",27.6648274,-81.5157535
"495","New Braunfels, TX",29.7030024,-98.1244531
"496","Lanham, MD",38.9582591,-76.860565
"497","309",32.0567671,-96.1919337
"498","Chatham, Chicago",41.7409936,-87.6138818
"499","Montevideo, Uruguay.",-34.9011127,-56.1645314
"500","Atlanta",33.7489954,-84.3879824
"501","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",13.7563309,100.5017651
"502","New York and beyond...",40.7521501,-73.9788248
"503","Oakland, CA #systemdynamics",37.8043637,-122.2711137
"504","In A Hidden Bunker,Atlanta ",33.7517203,-84.389955
"505","Columbus, OH",39.9611755,-82.9987942
"506","Carmel, CA",36.5552386,-121.9232879
"507","California, USA",36.778261,-119.4179324
"508","New Jersey, USA",40.0583238,-74.4056612
"509","404",38.9047257,-75.8774747
"510","atalanta",-27.4224135,-49.7793508
"511","Omaha, NE",41.2523634,-95.9979883
"512","Kokomo, IN",40.486427,-86.1336033
"513","Bedford, OH",41.3931096,-81.5365094
"514","210",34.2010138,-118.1884403
"515","23rdNY",40.8937312,-73.0976232
"516","Los Angeles, CA",34.0522342,-118.2436849
"517","611 Fifth Avenue",40.758045,-73.9769745
"518","Recife, Brasil",-8.0578381,-34.8828969
"519","Earth",34.2331373,-102.4107493
"520","Manaus, Brasil",-3.1190275,-60.0217314
"521","UMD '19 ",38.9869183,-76.9425543
"522","Cleveland, OH",41.49932,-81.6943605
"523","Littleton, CO",39.613321,-105.0166498
"524","Texas, USA",31.9685988,-99.9018131
"525","Walnut Creek, CA",37.9100783,-122.0651819
"526","Michigan, USA",44.3148443,-85.6023643
"527","Franklin, TN",35.9250637,-86.8688899
"528","Arlington, WA",48.1987118,-122.1251418
"529","Tuxtla Gutiérrez, Chiapas",16.7516009,-93.1029939
"530","lost boy",49.2542353,-123.067559
"531","West Virginia, USA",38.5976262,-80.4549026
"532","Texas, USA",31.9685988,-99.9018131
"533","Chicago, IL",41.8781136,-87.6297982
"534","Chicago",41.8781136,-87.6297982
"535","New Jersey, USA",40.0583238,-74.4056612
"536","nova",41.3329867,21.5393309
"537","Hoboken, NJ",40.7439905,-74.0323626
"538","Denver Harbor ",29.7700369,-95.2945694
"539","Saskatoon",52.1332144,-106.6700458
"540","se washington dc/greensboro nc",36.0696222,-79.787001
"541","Where the Wild Things are",53.6823877,-2.7021047
"542","Baltimore",39.2903848,-76.6121893
"543","New York, USA",40.7127837,-74.0059413
"544","earth",34.2331373,-102.4107493
"545","Brasil",-14.235004,-51.92528
"546","Heart in Philly",39.9568501,-75.1996261
"547","Atlanta & Worldwide",33.7489954,-84.3879824
"548","qc ",52.9399159,-73.5491361
"549","Pakistan ",30.375321,69.345116
"550","Iowa, USA",41.8780025,-93.097702
"551","Easton, PA",40.688432,-75.2207323
"552","Queens, NY",40.7282239,-73.7948516
"553","yee ",37.7972621,-122.407124
"554","Miami,fl/South Beach",25.7826123,-80.1340772
"555","Beaver Falls, PA",40.7520097,-80.3192295
"556","Dallas|New York| London ",41.378972,-72.1056514
"557","G.O.A.T.",48.3705449,10.89779
"558","Vail, Colorado",39.6402638,-106.3741955
"559","NYC",40.7127837,-74.0059413
"560","Cloud 9",44.9012479,-93.4029398
"561","Pittsburgh",40.4406248,-79.9958864
"562","Puerto Rico",18.220833,-66.590149
"563","North Arlington, NJ",40.788434,-74.1331988
"564","aqui mesmo",-15.8226869,-48.0897329
"565","United States",37.09024,-95.712891
"566","Republic of the Philippines",12.879721,121.774017
"567","Kingdom of St. Louis",38.7510941,-90.2542666
"568","Visit me ",43.656721,-70.250557
"569","New Britain, CT",41.6612104,-72.7795419
"570","Iowa, USA",41.8780025,-93.097702
"571","Montclair, CA ?",34.0775104,-117.6897776
"572","Republica Dominicana/Dom. Rep.",18.735693,-70.162651
"573","New York, NY",40.7127837,-74.0059413
"574","London, England",51.5073509,-0.1277583
"575","Hong Kong",22.396428,114.109497
"576","St. Louis",38.6270025,-90.1994042
"577","At Work",27.5759792,-99.4672613
"578","São Paulo",-23.5505199,-46.6333094
"579","Sephora",37.7849105,-122.4082053
"580","Bayou City",29.7477273,-95.3908014
"581","Houston, TX",29.7604267,-95.3698028
"582","United States",37.09024,-95.712891
"583","Orange Park, FL",30.1660736,-81.706484
"584","Toronto, Canada",43.653226,-79.3831843
"585","Miami, Florida",25.7616798,-80.1917902
"586","Queens, NY",40.7282239,-73.7948516
"587","Young, Wild, American",44.155342,-89.1665395
"588","Brooklyn, New York",40.6781784,-73.9441579
"589","6IX",43.67,-79.3898585
