"","lat","long","x"
"215",32.954307,-97.385945,1
"216",31.0982344,-97.342782,1
"217",32.7554883,-97.3307658,2
"218",37.6871761,-97.330053,2
"219",33.0848442,-97.2961286,1
"220",32.7995738,-97.2691817,1
"221",32.5631924,-97.1416768,1
"222",49.895136,-97.1383744,1
"223",32.9412363,-97.1341783,1
"224",32.735687,-97.1080656,2
"225",32.940444,-97.1060202,2
"226",32.4334742,-97.1025077,4
"227",36.1270236,-97.0737222,1
"228",36.1156071,-97.0583681,2
"229",28.0205733,-97.0544341,1
"230",32.7459645,-96.9977846,1
"231",37.2397486,-96.9955918,1
"232",33.046233,-96.994174,1
"233",30.8532454,-96.9769304,1
"234",32.8481029,-96.8512063,1
"235",33.1506744,-96.8236116,1
"236",33.2362278,-96.80111,1
"237",32.7766642,-96.7969879,14
"238",40.820682,-96.705594,1
"239",33.0205401,-96.7028312,2
"240",33.0198431,-96.6988856,1
"241",40.8257625,-96.6851982,1
"242",42.4999942,-96.4003069,1
"243",30.6735749,-96.373747,1
"244",32.0567671,-96.1919337,1
"245",42.4888809,-96.0725193,1
"246",41.2523634,-95.9979883,2
"247",36.1539816,-95.992775,1
"248",41.259388,-95.941725,1
"249",33.2470567,-95.8999656,1
"250",32.5565244,-95.8632996,1
"251",29.7857853,-95.8243956,1
"252",37.09024,-95.712891,62
"253",30.3882613,-95.6963355,1
"254",29.9716905,-95.6937856,1
"255",32.1679321,-95.6691277,1
"256",29.6196787,-95.6349463,2
"257",29.6888971,-95.6227788,1
"258",36.3216172,-95.6053679,1
"259",29.72345,-95.6041886,1
"260",30.0700573,-95.4325287,2
"261",30.0799405,-95.4171601,1
"262",29.9753592,-95.4101696,1
"263",29.6757457,-95.406063,1
"264",29.7477273,-95.3908014,1
"265",29.7604267,-95.3698028,29
"266",29.7450393,-95.3563918,1
"267",29.7700369,-95.2945694,1
"268",29.663008,-95.2354902,1
"269",38.9716689,-95.2352501,1
"270",41.3175381,-95.0761636,1
"271",29.7355047,-94.9774274,1
"272",29.3954999,-94.8982955,1
"273",38.7430645,-94.8255166,1
"274",46.729553,-94.6858998,7
"275",31.6035129,-94.6554874,2
"276",39.0997265,-94.5785667,5
"277",31.1585242,-94.4263124,1
"278",38.9108408,-94.3821724,1
"279",30.040144,-94.075231,1
"280",29.8849504,-93.939947,2
"281",29.9482695,-93.9171155,1
"282",39.0725121,-93.7171621,1
"283",41.6005448,-93.6091064,2
"284",45.0724642,-93.4557877,1
"285",44.9012479,-93.4029398,1
"286",44.9522896,-93.2991931,1
"287",44.3139974,-93.2986106,1
"288",44.977753,-93.2650108,11
"289",45.1538407,-93.2363076,1
"290",44.97399,-93.2277285,1
"291",44.7319094,-93.21772,1
"292",37.0208865,-93.2060163,1
"293",44.9374831,-93.2009998,5
"294",44.7588698,-93.1641611,1
"295",41.8780025,-93.097702,2
"296",44.9537029,-93.0899578,3
"297",34.12793,-93.0590436,1
"298",45.0853814,-93.0081479,1
"299",45.0124657,-92.9918828,1
"300",35.0886963,-92.4421011,1
"301",38.9519727,-92.3356821,1
"302",38.9517053,-92.3340724,1
"303",34.7464809,-92.2895948,1
"304",31.3517886,-92.1946014,1
